command,mean,stddev,user,system,min,max
./target/release/least_action 4 1,0.012738546441751276,0.000810831343667941,0.012189462817258884,0.0007707919796954315,0.011649290325000002,0.015271490325000003
./target/release/least_action 4 2,0.024923894915476183,0.0011673050975451935,0.024278122619047625,0.0008299420476190478,0.023275661325000002,0.027662949325000005
./target/release/least_action 4 3,0.03719383467635135,0.0014831007230429172,0.03692250472972974,0.0004708056756756757,0.03496746832500001,0.040510885325
./target/release/least_action 4 4,0.05063844779669812,0.0018524973576396558,0.04975370896226414,0.0009862156603773586,0.047407528325,0.053780635325000006
./target/release/least_action 4 5,0.0639469905423913,0.002076123921346967,0.06333134021739131,0.0007600352173913043,0.060312877325,0.06806613632500001
./target/release/least_action 4 6,0.07590286606858977,0.002217124781911364,0.07500432628205128,0.0009748398717948718,0.073057006325,0.07990662132500001
./target/release/least_action 4 7,0.08928210996136365,0.0024074217579292925,0.08855963863636362,0.0008022186363636363,0.085503087325,0.09338441332500001
./target/release/least_action 4 8,0.10252914147314819,0.002639162732043787,0.10219646018518518,0.00044412611111111096,0.097156954325,0.10570741332500001
./target/release/least_action 4 9,0.1143915374916667,0.002939236714530073,0.11357964999999999,0.0008587477083333333,0.110007083325,0.11979360032500001
./target/release/least_action 4 10,0.12696203405227274,0.0029424064411468064,0.12587359318181815,0.0010725036363636363,0.12273665632500001,0.13291370132500002
